authors,year_published,title,entity_id,entity,theme,type,spatial_scale,time_slice,latitude,longitude,is_published,raw_data_available,DOI_paper,DOI_data,URL,Who
Marchant & Lane,2014,Past perspectives for the future: foundations for sustainable development in East Africa,Marchant & Lane 2014 JAS. Past perspectives for the future: foundations for sustainable development in East Africa,East Africa,"Paleoecology, archaeology, ecology, social",review,regional,"pre-colonial, colonial, modern",,,Yes,,https://doi.org/10.1016/j.jas.2013.07.005,,,Oliver Wilson
Stump,2013,"On Applied Archaeology, Indigenous Knowledge, and the Usable Past","Stump 2013 Curr Anth. On Applied Archaeology, Indigenous Knowledge, and the Usable Past",,"Archaeology, social","review, theory",global,"pre-colonial, colonial, modern",,,Yes,,https://doi.org/10.1086/670330,,,Oliver Wilson
Lezine et al,2019,"A 90,000-year record of Afromontane forest responses to climate change","Lezine et al 2019 Science. A 90,000-year record of Afromontane forest responses to climate change",Montane forest,Paleoecology,study_case,local,"pre-human, pre-colonial, colonial, modern",5.94,10.24,Yes,Yes,https://doi.org/10.1126/science.aav6821,https://dx.doi.org/10.21233/3epn-hs17,,Oliver Wilson
PAGES 2k consortium,2017,A global multiproxy database for temperature reconstructions of the Common Era,PAGES2k 2017 Sci Dat. A global multiproxy database for temperature reconstructions of the Common Era,Global,Paleoecology,review,global,"pre-human, pre-colonial, colonial, modern",,,Yes,Yes,https://doi.org/10.1038/sdata.2017.88,https://doi.org/10.6084/m9.figshare.c.3285353.v2,,Oliver Wilson
Schulz et al,2019,"Uses, cultural significance, and management of peatlands in the Peruvian Amazon: Implications for conservation","Schulz et al 2019 J Bio Con. Uses, cultural significance, and management of peatlands in the Peruvian Amazon: Implications for conservation",Tropical peatland (Amazonia),"Ecology, social",study_case,local,modern,-4.5,-75,Yes,No,https://doi.org/10.1016/j.biocon.2019.04.005,,,Oliver Wilson
Schulz et al,2019,Peatland and wetland ecosystems in Peruvian Amazonia: indigenous classifications and perspectives,Schulz et al 2019 ES. Peatland and wetland ecosystems in Peruvian Amazonia: indigenous classifications and perspectives,Tropical peatland (Amazonia),"Ecology, social",study_case,local,modern,-4.5,-75,Yes,No,https://doi.org/10.5751/ES-10886-240212,,,Oliver Wilson
Levis et al. ,2017,Persistent effects of pre-Columbian plant domestication on Amazonian forest composition,Levis et al 2017 Science. Persistent effects of pre-Columbian plant domestication on Amazonian forest composition,Tropical rainforest (Amazonia),"Archaeology, ecology",study_case,regional,"pre-colonial, colonial, modern",,,Yes,,https://doi.org/10.1126/science.aal0157,,,Oliver Wilson
Oliveira et al,2020,Legacy of Amazonian Dark Earth soils on forest structure and species composition,Oliveira et al 2020 GEB. Legacy of Amazonian Dark Earth soils on forest structure and species composition,Tropical rainforest (Amazonia),"Archaeology, ecology",study_case,local,"pre-colonial, colonial, modern",,,Yes,,https://doi.org/10.1111/geb.13116,,,Oliver Wilson
Odonne et al,2019,Long-term influence of early human occupations on current forests of the Guiana Shield,Odonne et al 2019 Ecology. Long-term influence of early human occupations on current forests of the Guiana Shield,Tropical rainforest (Amazonia),"Archaeology, ecology",study_case,local,"pre-colonial, colonial, modern",,,Yes,,https://doi.org/10.1002/ecy.2806,,,Oliver Wilson
Levis et al. ,2020,Pre-Columbian soil fertilization and current management maintain food resource availability in old-growth Amazonian forests,Levis et al 2020 Plant & Soil. Pre-Columbian soil fertilization and current management maintain food resource availability in old-growth Amazonian forests,Tropical rainforest (Amazonia),"Archaeology, ecology",study_case,local,"pre-colonial, colonial, modern",,,Yes,,https://doi.org/10.1007/s11104-020-04461-z,,,Oliver Wilson
Zurita-Benavides et al,2016,Oral History Reveals Landscape Ecology in Ecuadorian Amazonia: Time Categories and Ethnobotany among Waorani People,Zurita-Benavides et al 2016 Econ Bot. Oral History Reveals Landscape Ecology in Ecuadorian Amazonia: Time Categories and Ethnobotany among Waorani People,Tropical rainforest (Amazonia),"Ecology, social",study_case,local,modern,-1.1,-77.3,Yes,,https://doi.org/10.1007/s12231-015-9330-y,,,Oliver Wilson
Richer & Gearey,2017,The Medicine Tree: Unsettling palaeoecological perceptions of past environments and human activity,Richer & Gearey 2017 JSA. The Medicine Tree: Unsettling palaeoecological perceptions of past environments and human activity,,"Palaeoecology, social",theory,global,"pre-colonial, colonial, modern",,,Yes,,https://doi.org/10.1177/1469605317731013,,,Oliver Wilson
Dryflor,2016,Plant diversity patterns in neotropical dry forests and their conservation implications,Dryflor 2016 Science. Plant diversity patterns in neotropical dry forests and their conservation implications,Tropical dry forest (Neotropics),Ecology,"study_case, review",continental,modern,,,Yes,Yes,https://doi.org/10.1126/science.aaf5080,,http://www.dryflor.info/,Oliver Wilson
ForestPlots,,ForestPlots network,ForestPlots network dataset,Tropical forest,Ecology,review,global,modern,,,?,Yes,,,https://www.forestplots.net/en,Oliver Wilson
ter Steege et al,2013,Hyperdominance in the Amazonian Tree Flora,ter Steege et al 2013 Science. Hyperdominance in the Amazonian Tree Flora,Tropical rainforest (Amazonia),Ecology,review,regional,modern,,,Yes,Some,http://dx.doi.org/10.1126/science.1243092,,,Oliver Wilson
Sullivan et al,2020,Long-term thermal sensitivity of Earth’s tropical forests,Sullivan et al 2020 Science. Long-term thermal sensitivity of Earth’s tropical forests,Tropical rainforest,Ecology,"study_case, review",global,modern,,,Yes,No,https://doi.org/10.1126/science.aaw7578,,,Oliver Wilson
ter Steege et al,2020,Biased-corrected richness estimates for the Amazonian tree flora,ter Steege et al 2020 Sci Rep. Biased-corrected richness estimates for the Amazonian tree flora,Tropical rainforest (Amazonia),Ecology,"study_case, review",regional,modern,,,Yes,,https://doi.org/10.1038/s41598-020-66686-3,,,Oliver Wilson
Esquivel-Muelbert et al,2019,Compositional response of Amazon forests to climate change,Esquivel-Muelbert et al 2019 GEB. Compositional response of Amazon forests to climate change,Tropical rainforest (Amazonia),Ecology,study_case,regional,modern,,,Yes,Some,https://doi.org/10.1111/gcb.14413,,,Oliver Wilson
Sande et al,2019,A 7000‐year history of changing plant trait composition in an Amazonian landscape; the role of humans and climate,Sande et al 2019 Ecol Lett. A 7000‐year history of changing plant trait composition in an Amazonian landscape; the role of humans and climate,Tropical rainforest (Amazonia),Paleoecology,study_case,local,"pre-colonial, colonial, modern",-6.7,-76.22,Yes,Yes,https://doi.org/10.1111/ele.13251,https://doi.org/10.17026/dans-z3z-n3k2,,Oliver Wilson
Barnosky et al,2017,Merging paleobiology with conservation biology to guide the future of terrestrial ecosystems,Barnosky et al 2017 Science. Merging paleobiology with conservation biology to guide the future of terrestrial ecosystems,Global,"Paleoecology, ecology","review, theory",global,"pre-human, pre-colonial, colonial, modern",,,Yes,,https://doi.org/10.1126/science.aah4787,,,Oliver Wilson
Souza et al,2020,Reconstructing Three Decades of Land Use and Land Cover Changes in Brazilian Biomes with Landsat Archive and Earth Engine,MapBiomas; Souza et al 2020 Rem Sens. Reconstructing Three Decades of Land Use and Land Cover Changes in Brazilian Biomes with Landsat Archive and Earth Engine,Neotropics,Ecology,"study_case, review",continental,modern,,,Yes,Yes,https://doi.org/10.3390/rs12172735,,https://mapbiomas.org/en/initiatives,Oliver Wilson
Rejou-Mechain et al,2021,Unveiling African rainforest composition and vulnerability to global change,Rejou-Mechain et al 2021 Unveiling African rainforest composition and vulnerability to global change,Tropical rainforest (Africa),Ecology,study_case,regional,modern,,,Yes,Yes,https://doi.org/10.1038/s41586-021-03483-6,https://doi.org/10.18167/DVN1/UCNCA7,,Xavier Benito
Bertassoli Jr et al,2019,Spatiotemporal Variations of Riverine Discharge Within the Amazon Basin During the Late Holocene Coincide With Extratropical Temperature Anomalies,Bertassoli Jr et al 2019 Spatiotemporal Variations of Riverine Discharge Within the Amazon Basin During the Late Holocene Coincide With Extratropical Temperature Anomalies,Tropical rainforest (Amazonia),Paleohidrology,study_case,regional,late Holocene,-1.709,-52.28,yes,yes,https://doi.org/10.1029/2019GL082936,,,Fabiano Pupim
Heckenberger et al. ,2009,Amazonian Archaeology,Heckenberger et al. 2009 Amazonian Archaeology,Tropical rainforest (Amazonia),Archeology,review,regional,"pre-colonial, colonial, modern",,,yes,,https://doi.org/10.1146/annurev-anthro-091908-164310,,https://www.annualreviews.org/doi/pdf/10.1146/annurev-anthro-091908-164310,Johanna Menges
Bush et al.,2008,"Fire, climate change and biodiversity in Amazonia: a Late-Holocene perspective","Bush et al. 2008 Fire, climate change and biodiversity in Amazonia: a Late-Holocene perspective",Tropical rainforest (Amazonia),Paleoecology,study_case,local,late Holocene,,,yes,Not found,https://doi.org/10.1098/rstb.2007.0014,,https://royalsocietypublishing.org/doi/full/10.1098/rstb.2007.0014#d12848962e2754s,Johanna Menges
Nevle et al. ,2011,"Neotropical human–landscape interactions, fire, and atmospheric CO2 during European conquest","Nevle et al. 2011 Neotropical human–landscape interactions, fire, and atmospheric CO2 during European conquest",,Paleoecology,study_case,local,"pre-colonial, colonial",,,yes,,https://doi.org/10.1177/0959683611404578,,https://journals.sagepub.com/doi/abs/10.1177/0959683611404578,Johanna Menges
Haggi et al,2018,Response of the Amazon rainforest to late Pleistocene climate variability,Haggi et al 2018 Response of the Amazon rainforest to late Pleistocene climate variability,Tropical rainforest (Amazonia),Paleoclimate,study_case,regional,late Pleistocene,-6.660555556,-52.09416667,yes,yes,https://doi.org/10.1016/j.epsl.2017.09.013,,https://doi.org/10.1594/PANGAEA.881516,Fabiano Pupim
Wang et al,2017,"Hydroclimate changes across the Amazon lowlands over the past 45,000 years","Wang et al 2017 Hydroclimate changes across the Amazon lowlands over the past 45,000 years",Tropical rainforest (Amazonia),Paleoclimate (speleotheme),study_case,regional,late Pleistocene/Holocene,-4.066666667,-55.45,yes,yes,https://doi.org/10.1038/nature20787,,,Fabiano Pupim
Cheng et al,2013,Climate change patterns in Amazonia and biodiversity,Cheng et al 2013 Climate change patterns in Amazonia and biodiversity,Tropical rainforest (Amazonia),Paleoclimate (speleotheme),study_case,regional,mid-late Pleistocene/Holocene,-5.9333,-77.3,yes,yes,https://doi.org/10.1038/ncomms2415,,,Fabiano Pupim
McGlue et al,2012,"Lacustrine records of Holocene flood pulse dynamics in the Upper Paraguay River watershed (Pantanal wetlands, Brazil)","McGlue et al 2012 Lacustrine records of Holocene flood pulse dynamics in the Upper Paraguay River watershed (Pantanal wetlands, Brazil)",Pantanal wetland,Paleolimnology,study_case,local,Holocene,-18.13,-57.55,yes,no,https://doi.org/10.1016/j.yqres.2012.05.015,,,Fabiano Pupim
Roberts et al. ,2017,The deep human prehistory of global tropical forests and its relevance for modern conservation,Roberts et al. 2017,Tropical forest,Archeology,review,global,late pleistocene ,,,yes,no,https://doi.org/10.1038/nplants.2017.93,,,Giorgia Camperio
ibbs et al. ,2009,Tropical forests were the primary sources of new agricultural land in the 1980s and 1990s,,Tropical forest,ecology remote sensing ,review,global,modern,,,yes,yes,https://doi.org/10.1073/pnas.0910275107,,,Giorgia Camperio
Arroyo-Kalin & Riris,2021,Did pre-Columbian populations of the Amazonian biome reach carrying capacity during the Late Holocene?,Arroyo-Kalin & Riris,Tropical rainforest (Amazonia),palaeodemography,study_case,regional,Holocene,,,yes,yes,https://doi.org/10.1098/rstb.2019.0715,,,Philip Riris
Riris & Arroyo-Kalin,2019,Widespread population decline in South America correlates with mid-Holocene climate change,Riris & Arroyo-Kalin,South America,palaeodemography,study_case,continental,Holocene,,,yes,yes,https://doi.org/10.1038/s41598-019-43086-w,,,Philip Riris
De Souza & Riris,2021,"Delayed demographic transition following the adoption of cultivated plants in the eastern La Plata Basin and Atlantic coast, South America",De Souza & Riris,La Plata basin,palaeodemography,study_case,regional,Holocene,,,yes,yes,https://doi.org/10.1016/j.jas.2020.105293,,,Philip Riris
Nascimento et al,2019,"Vegetation response to climatic changes in western Amazonia over the last 7,600 years","Nascimento et a. 2019 Vegetation response to climatic changes in western Amazonia over the last 7,600 years",Tropical rainforest (Amazonia),Paleoecology,study_case,local,Holocene,0.285,-66.676,yes,yes,https://doi.org/10.1111/jbi.13704 ,,https://doi.org/10.1111/jbi.13704 ,Majoi N. Nascimento
Nascimento et al,2018,"A 12,700-year history of paleolimnological change from an Andean microrefugium","Nascimento et al. 2018 A 12,700-year history of paleolimnological change from an Andean microrefugium","Montane forest, lake (Andes)",Paleolimnology,study_case,local,Holocene,-13.98023,-71.037708,yes,yes,https://doi.org/10.1177/0959683618810400,,,Majoi N. Nascimento
Nascimento et al,2020,The adoption of agropastoralism and increased ENSO frequency in the Andes,Nascimento et al. 2020 The adoption of agropastoralism and increased ENSO frequency in the Andes,Montane forest (Andes),Paleoecology,study_case,local,Holocene,-2.8427778,-79.146111,yes,yes,https://doi.org/10.1016/j.quascirev.2020.106471,,,Majoi N. Nascimento
Adolf et al.,2020,Identifying drivers of forest resilience in long-term records from the Neotropics,Adolf et al 2020 Identifying drivers of forest resilience in long-term records from the Neotropics,Tropical forest,Paleoecology,theory,regional,Holocene,,,yes,yes,https://doi.org/10.1098/rsbl.2020.0005,https://doi.org/10.5061/dryad.xwdbrv19c,https://royalsocietypublishing.org/doi/10.1098/rsbl.2020.0005#d1e1998,Carole Adolf
Roberts et al.,2020,Late Pleistocene to Holocene human palaeoecology in the tropical environments of coastal eastern Africa,Roberts et al.2020Late Pleistocene to Holocene human palaeoecology in the tropical environments of coastal eastern Africa,Tropical forest (East Africa),Archaeology/Palaeoecology,study_case,local,pre-colonial,-3.678611111,39.73583333,Yes,Yes,https://doi.org/10.1016/j.palaeo.2019.109438,https://doi.org/10.1016/j.palaeo.2019.109438,,Patrick Roberts
Roberts et al.,2017,Fruits of the forest: Human stable isotope ecology and rainforest adaptations in Late Pleistocene and Holocene (∼36 to 3 ka) Sri Lanka,Roberts et al.2017Fruits of the forest: Human stable isotope ecology and rainforest adaptations in Late Pleistocene and Holocene (∼36 to 3 ka) Sri Lanka,Tropical forest (Sri Lanka),Archaeology/Palaeoecology,study_case,local,pre-colonial,6.766666667,80.2,Yes,Yes,https://doi.org/10.1016/j.jhevol.2017.01.015,https://doi.org/10.1016/j.jhevol.2017.01.015,,Patrick Roberts
Premathilake and Risberg,2003,"Late Quaternary climate history of the Horton Plains, central Sri Lanka","Premathilake and Risberg2003Late Quaternary climate history of the Horton Plains, central Sri Lanka",Tropical forest (Sri Lanka),Archaeology/Palaeoecology,study_case,regional,pre-colonial,6.8,80.8,Yes,Yes,https://doi.org/10.1016/S0277-3791(03)00128-8,https://doi.org/10.1016/S0277-3791(03)00128-8,,Patrick Roberts
Hunt et al.,2012,"A 50,000-year record of late Pleistocene tropical vegetation and human impact in lowland Borneo","Hunt et al.2012A 50,000-year record of late Pleistocene tropical vegetation and human impact in lowland Borneo",Tropical forest (Southeast Asia),Archaeology/Palaeoecology,study_case,local,pre-colonial,3.808330556,113.7754972,Yes,Yes,https://doi.org/10.1016/j.quascirev.2012.01.014,https://doi.org/10.1016/j.quascirev.2012.01.014,,Patrick Roberts
Bush et al.,2021,Widespread reforestation before European influence in Amazonia,Bush et al.2021Widespread reforestation before European influence in Amazonia,Tropical rainforest (Amazonia),Palaeoecology,review,regional,pre-colonial,,,Yes,Yes,10.1126/science.abf3870,,,Xavier Benito
Nogue et al. ,2021,The human dimension of biodiversity changes on islands,Nogue et al 2021The human dimension of biodiversity changes on islands,Global,Palaeoecology,theory,global,Holocene,,,Yes,,10.1126/science.abd6706,,https://science.sciencemag.org/content/372/6541/488,Carole Adolf
