authors,year_published,title,entity_id,subrealm,entity,ecosystem,proxy,indicator,theme,type,spatial_scale,region,time_slice,period,latitude,longitude,is_published,raw_data_available,DOI_paper,DOI_data,URL,Who
Ellis et al ,2021,"People have shaped most of terrestrial nature for at least 12,000 years","Ellis et al People have shaped most of terrestrial nature for at least 12,000 years",,Global ecosystems,,land use recondstructions,land use,"paleoecology, archaeology, ecology",review,global,Global,"pre-human, pre-colonial, modern",12000 BP-present,,,Yes,Yes,10.1073/pnas.2023483118,https://doi.org/10.7910/DVN/E3H3AK,,Xavier Benito
Hamilton et al,2020,"Forest, fire & monsoon: investigating the long-term threshold dynamics of south-east Asia’s seasonally dry tropical forests","Hamilton et al 2020 QSR Forest, fire & monsoon: investigating the long-term threshold dynamics of south-east Asia’s seasonally dry tropical forests",,seasonally dry tropical forest,seasonally dry tropical forest,pollen; charcoal,climate; fire,paleoecology,study_case,local,SE Asia,"pre-colonial, colonial, modern",5895 BP-298 BP,13.37,107.15,Yes,Yes,https://doi.org/10.1016/j.quascirev.2020.106334,https://doi.org/10.1016/j.quascirev.2020.106334,,Rebecca Hamilton
Hamilton et al,2019,A 4700-year record of hydroclimate variability over the Asian monsoon intersection zone inferred from multi-proxy analysis of lake sediments,Hamilton et al 2019 GPC A 4700-year record of hydroclimate variability over the Asian monsoon intersection zone inferred from multi-proxy analysis of lake sediments,,limnic,,sedimentary proxies,climate,limnology,study_case,local,SE Asia,"pre-colonial, colonial, modern",5895 BP-298 BP,13.37,107.15,Yes,Yes,https://doi.org/10.1016/j.gloplacha.2018.12.009,https://doi.org/10.1016/j.gloplacha.2018.12.009,,Rebecca Hamilton
Hamilton et al,2019,"A 16,000-year record of climate, vegetation and fire from Wallacean lowland tropical forests","Hamilton et al QSR A 16,000-year record of climate, vegetation and fire from Wallacean lowland tropical forests",,evergreen tropical forest,,pollen; charcoal; sedimentary proxies,climate; fire; land use,palaeoecology; limnology,study_case,local,SE Asia,"pre-colonial, colonial, modern",16000 BP-present,-2.66,121.7,Yes,Yes,https://doi.org/10.1016/j.quascirev.2019.105929,https://doi.org/10.1016/j.quascirev.2019.105929,,Rebecca Hamilton
Cole et al.,2019,Fire in the Swamp Forest: Palaeoecological Insights Into Natural and Human-Induced Burning in Intact Tropical Peatlands,Cole et al 2019 Front. For. Glob. Change Fire in the Swamp Forest: Palaeoecological Insights into Natural and Human-induced Burning in Intact Tropical Peatlands,,Tropical peatland (Malaysia),peatland,pollen,climate; fire; land use,paleoecology,study_case,local,SE Asia,"pre-human, pre-colonial, modern",2800 BP-present,4.36,114.05,Yes,Yes,https://doi.org/10.3389/ffgc.2019.00048,https://doi.org/10.5061/dryad.b5r07,,Lydia Cole
McMichael et al. ,2017,Ancient human disturbances may be skewing our understanding of Amazonian forests,McMichael et al 2017 PNAS. Ancient human disturbances may be skewing our understanding of Amazonian forests,,Tropical rainforest (Amazonia),tropical rainforest,archaeology; pollen,biodiversity,"archaeology, ecology","study_case, review",regional,Neotropics,"pre-colonial, colonial, modern",NA,,,Yes,No,https://doi.org/10.1073/pnas.1614577114,,,Oliver Wilson
Gillson et al,2003,Representing environments in flux: case studies from East Africa,Gillson et al 2003 Area. Representing environments in flux: case studies from East Africa,,Tropical forest (East Africa),,NA,land use,"paleoecology, archaeology","study_case, review",regional,Africa,"pre-colonial, colonial, modern",present,-4,38,Yes,No,https://doi.org/10.1111/j.0004-0894.2003.00188.x,,,Oliver Wilson
Heckmann et al,2014,"Human–environment interactions in an agricultural landscape: A 1400-yr sediment and pollen record from North Pare, NE Tanzania","Heckmann et al 2014 Palaeo3. Human–environment interactions in an agricultural landscape: A 1400-yr sediment and pollen record from North Pare, NE Tanzania",,Tropical forest (East Africa),,pollen; sedimentary proxy,land use,"paleoecology, archaeology",study_case,local,Africa,"pre-colonial, colonial, modern",1400 BP-present,-3.71,37.67,Yes,No,http://dx.doi.org/10.1016/j.palaeo.2014.04.005,,,Oliver Wilson
Finch et al,2016,"Ecosystem change in the South Pare Mountain bloc, Eastern Arc Mountains of Tanzania","Finch et al 2016 Holocene. Ecosystem change in the South Pare Mountain bloc, Eastern Arc Mountains of Tanzania",,Tropical forest (East Africa),,pollen; charcoal,land use,"paleoecology, archaeology",study_case,local,Africa,"pre-colonial, colonial, modern",1200 BP-present,-4.29,37.92,Yes,Yes,https://doi.org/10.1177/0959683616675937,,https://dx.doi.org/10.21233/JK1S-VG18,Oliver Wilson
Stump,2010,“Ancient and Backward or Long-Lived and Sustainable?” The Role of the Past in Debates Concerning Rural Livelihoods and Resource Conservation in Eastern Africa,Stump 2010 World Dev. “Ancient and Backward or Long-Lived and Sustainable?” The Role of the Past in Debates Concerning Rural Livelihoods and Resource Conservation in Eastern Africa,,Tropical forest (East Africa),,review,land use,archaeology; social,review,regional,Africa,"pre-colonial, colonial, modern",NA,,,Yes,No,https://doi.org/10.1016/j.worlddev.2010.02.007,,,Oliver Wilson
Marchant & Lane,2014,Past perspectives for the future: foundations for sustainable development in East Africa,Marchant & Lane 2014 JAS. Past perspectives for the future: foundations for sustainable development in East Africa,,East Africa,,review,land use,"paleoecology, archaeology, ecology, social",review,regional,Africa,"pre-colonial, colonial, modern",NA,,,Yes,,https://doi.org/10.1016/j.jas.2013.07.005,,,Oliver Wilson
Stump,2013,"On Applied Archaeology, Indigenous Knowledge, and the Usable Past","Stump 2013 Curr Anth. On Applied Archaeology, Indigenous Knowledge, and the Usable Past",,,,review,land use,archaeology; social,"review, theory",global,Global,"pre-colonial, colonial, modern",NA,,,Yes,,https://doi.org/10.1086/670330,,,Oliver Wilson
Lezine et al,2019,"A 90,000-year record of Afromontane forest responses to climate change","Lezine et al 2019 Science. A 90,000-year record of Afromontane forest responses to climate change",,Montane forest,montane forest,pollen,biodiversity,paleoecology,study_case,local,Africa,"pre-human, pre-colonial, colonial, modern",90000 BP-present,5.94,10.24,Yes,Yes,https://doi.org/10.1126/science.aav6821,https://dx.doi.org/10.21233/3epn-hs17,,Oliver Wilson
PAGES 2k consortium,2017,A global multiproxy database for temperature reconstructions of the Common Era,PAGES2k 2017 Sci Dat. A global multiproxy database for temperature reconstructions of the Common Era,,Global,,multiproxy,climate,paleoecology,review,global,Global,"pre-human, pre-colonial, colonial, modern",2000 BP-present,,,Yes,Yes,https://doi.org/10.1038/sdata.2017.88,https://doi.org/10.6084/m9.figshare.c.3285353.v2,,Oliver Wilson
Schulz et al,2019,"Uses, cultural significance, and management of peatlands in the Peruvian Amazon: Implications for conservation","Schulz et al 2019 J Bio Con. Uses, cultural significance, and management of peatlands in the Peruvian Amazon: Implications for conservation",,Tropical peatland (Amazonia),peatland,interviews,land use,social; ecology,study_case,local,Neotropics,modern,present,-4.5,-75,Yes,No,https://doi.org/10.1016/j.biocon.2019.04.005,,,Oliver Wilson
Schulz et al,2019,Peatland and wetland ecosystems in Peruvian Amazonia: indigenous classifications and perspectives,Schulz et al 2019 ES. Peatland and wetland ecosystems in Peruvian Amazonia: indigenous classifications and perspectives,,Tropical peatland (Amazonia),peatland,interviews,land use,social; ecology,study_case,local,Neotropics,modern,present,-4.5,-75,Yes,No,https://doi.org/10.5751/ES-10886-240212,,,Oliver Wilson
Levis et al. ,2017,Persistent effects of pre-Columbian plant domestication on Amazonian forest composition,Levis et al 2017 Science. Persistent effects of pre-Columbian plant domestication on Amazonian forest composition,,Tropical rainforest (Amazonia),tropical rainforest,tree inventory,biodiversity; land use,archaeology; ecology,study_case,regional,Neotropics,"pre-colonial, colonial, modern",present,,,Yes,,https://doi.org/10.1126/science.aal0157,,,Oliver Wilson
Oliveira et al,2020,Legacy of Amazonian Dark Earth soils on forest structure and species composition,Oliveira et al 2020 GEB. Legacy of Amazonian Dark Earth soils on forest structure and species composition,,Tropical rainforest (Amazonia),tropical rainforest,soil samples,land use,archaeology; ecology,study_case,local,Neotropics,"pre-colonial, colonial, modern",present,,,Yes,,https://doi.org/10.1111/geb.13116,,,Oliver Wilson
Odonne et al,2019,Long-term influence of early human occupations on current forests of the Guiana Shield,Odonne et al 2019 Ecology. Long-term influence of early human occupations on current forests of the Guiana Shield,,Tropical rainforest (Amazonia),tropical rainforest,tree inventory,biodiversity; land use,archaeology; ecology,study_case,local,Neotropics,"pre-colonial, colonial, modern",present,,,Yes,,https://doi.org/10.1002/ecy.2806,,,Oliver Wilson
Levis et al. ,2020,Pre-Columbian soil fertilization and current management maintain food resource availability in old-growth Amazonian forests,Levis et al 2020 Plant & Soil. Pre-Columbian soil fertilization and current management maintain food resource availability in old-growth Amazonian forests,,Tropical rainforest (Amazonia),tropical rainforest,interviews; tree inventory,land use; biodiversity,archaeology; ecology; social,study_case,local,Neotropics,"pre-colonial, colonial, modern",present,,,Yes,,https://doi.org/10.1007/s11104-020-04461-z,,,Oliver Wilson
Zurita-Benavides et al,2016,Oral History Reveals Landscape Ecology in Ecuadorian Amazonia: Time Categories and Ethnobotany among Waorani People,Zurita-Benavides et al 2016 Econ Bot. Oral History Reveals Landscape Ecology in Ecuadorian Amazonia: Time Categories and Ethnobotany among Waorani People,,Tropical rainforest (Amazonia),tropical rainforest,interviews,biodiversity,"Ecology, social",study_case,local,Neotropics,modern,present,-1.1,-77.3,Yes,,https://doi.org/10.1007/s12231-015-9330-y,,,Oliver Wilson
Richer & Gearey,2017,The Medicine Tree: Unsettling palaeoecological perceptions of past environments and human activity,Richer & Gearey 2017 JSA. The Medicine Tree: Unsettling palaeoecological perceptions of past environments and human activity,,,,NA,land use; biodiversity,palaeoecology; social,theory,global,Global,"pre-colonial, colonial, modern",present,,,Yes,,https://doi.org/10.1177/1469605317731013,,,Oliver Wilson
Dryflor,2016,Plant diversity patterns in neotropical dry forests and their conservation implications,Dryflor 2016 Science. Plant diversity patterns in neotropical dry forests and their conservation implications,,Tropical dry forest (Neotropics),dry tropical rainforest,tree inventory,biodiversity,ecology,"study_case, review",continental,Neotropics,modern,present,,,Yes,Yes,https://doi.org/10.1126/science.aaf5080,,http://www.dryflor.info/,Oliver Wilson
ForestPlots,,ForestPlots network,ForestPlots network dataset,,Tropical forest,tropical rainforest,tree inventory,biodiversity,ecology,review,global,Global,modern,1985-present,,,?,Yes,,,https://www.forestplots.net/en,Oliver Wilson
ter Steege et al,2013,Hyperdominance in the Amazonian Tree Flora,ter Steege et al 2013 Science. Hyperdominance in the Amazonian Tree Flora,,Tropical rainforest (Amazonia),tropical rainforest,tree inventory,biodiversity,ecology,review,regional,Neotropics,modern,present,,,Yes,Some,http://dx.doi.org/10.1126/science.1243092,,,Oliver Wilson
Sullivan et al,2020,Long-term thermal sensitivity of Earth’s tropical forests,Sullivan et al 2020 Science. Long-term thermal sensitivity of Earth’s tropical forests,,Tropical rainforest,tropical rainforest,tree inventory,climate,ecology,"study_case, review",global,Neotropics,modern,present,,,Yes,No,https://doi.org/10.1126/science.aaw7578,,,Oliver Wilson
ter Steege et al,2020,Biased-corrected richness estimates for the Amazonian tree flora,ter Steege et al 2020 Sci Rep. Biased-corrected richness estimates for the Amazonian tree flora,,Tropical rainforest (Amazonia),tropical rainforest,tree inventory,biodiversity,ecology,"study_case, review",regional,Neotropics,modern,present,,,Yes,,https://doi.org/10.1038/s41598-020-66686-3,,,Oliver Wilson
Esquivel-Muelbert et al,2019,Compositional response of Amazon forests to climate change,Esquivel-Muelbert et al 2019 GEB. Compositional response of Amazon forests to climate change,,Tropical rainforest (Amazonia),tropical rainforest,tree inventory,climate; biodiversity,ecology,study_case,regional,Neotropics,modern,present,,,Yes,Some,https://doi.org/10.1111/gcb.14413,,,Oliver Wilson
Sande et al,2019,A 7000‐year history of changing plant trait composition in an Amazonian landscape; the role of humans and climate,Sande et al 2019 Ecol Lett. A 7000‐year history of changing plant trait composition in an Amazonian landscape; the role of humans and climate,,Tropical rainforest (Amazonia),tropical rainforest,pollen,climate; biodiversity; land use,paleoecology,study_case,local,Neotropics,"pre-colonial, colonial, modern",7000 BP-present,-6.7,-76.22,Yes,Yes,https://doi.org/10.1111/ele.13251,https://doi.org/10.17026/dans-z3z-n3k2,,Oliver Wilson
Barnosky et al,2017,Merging paleobiology with conservation biology to guide the future of terrestrial ecosystems,Barnosky et al 2017 Science. Merging paleobiology with conservation biology to guide the future of terrestrial ecosystems,,Global,,review,biodiversity,palaeoecology; ecology,"review, theory",global,Global,"pre-human, pre-colonial, colonial, modern",NA,,,Yes,,https://doi.org/10.1126/science.aah4787,,,Oliver Wilson
Souza et al,2020,Reconstructing Three Decades of Land Use and Land Cover Changes in Brazilian Biomes with Landsat Archive and Earth Engine,MapBiomas; Souza et al 2020 Rem Sens. Reconstructing Three Decades of Land Use and Land Cover Changes in Brazilian Biomes with Landsat Archive and Earth Engine,,Neotropics,,remote sensing,land use,archaeology; ecology,"study_case, review",continental,Neotropics,modern,present,,,Yes,Yes,https://doi.org/10.3390/rs12172735,,https://mapbiomas.org/en/initiatives,Oliver Wilson
Rejou-Mechain et al,2021,Unveiling African rainforest composition and vulnerability to global change,Rejou-Mechain et al 2021 Unveiling African rainforest composition and vulnerability to global change,,Tropical rainforest (Africa),tropical rainforest,tree inventory,biodiversity,ecology,study_case,regional,Africa,modern,present,,,Yes,Yes,https://doi.org/10.1038/s41586-021-03483-6,https://doi.org/10.18167/DVN1/UCNCA7,,Xavier Benito
Bertassoli Jr et al,2019,Spatiotemporal Variations of Riverine Discharge Within the Amazon Basin During the Late Holocene Coincide With Extratropical Temperature Anomalies,Bertassoli Jr et al 2019 Spatiotemporal Variations of Riverine Discharge Within the Amazon Basin During the Late Holocene Coincide With Extratropical Temperature Anomalies,,Tropical rainforest (Amazonia),tropical rainforest,soil samples,climate,Paleohidrology,study_case,regional,Neotropics,late Holocene,4000 BP-present,-1.709,-52.28,yes,yes,https://doi.org/10.1029/2019GL082936,,,Fabiano Pupim
Heckenberger et al. ,2009,Amazonian Archaeology,Heckenberger et al. 2009 Amazonian Archaeology,,Tropical rainforest (Amazonia),tropical rainforest,review,land use,archaeology,review,regional,Neotropics,"pre-colonial, colonial, modern",???,,,yes,,https://doi.org/10.1146/annurev-anthro-091908-164310,,https://www.annualreviews.org/doi/pdf/10.1146/annurev-anthro-091908-164310,Johanna Menges
Bush et al.,2008,"Fire, climate change and biodiversity in Amazonia: a Late-Holocene perspective","Bush et al. 2008 Fire, climate change and biodiversity in Amazonia: a Late-Holocene perspective",,Tropical rainforest (Amazonia),tropical rainforest; savanna,charcoal,fire,paleoecology,study_case,local,Neotropics,late Holocene,0 CE-present,,,yes,Not found,https://doi.org/10.1098/rstb.2007.0014,,https://royalsocietypublishing.org/doi/full/10.1098/rstb.2007.0014#d12848962e2754s,Johanna Menges
Nevle et al. ,2011,"Neotropical human–landscape interactions, fire, and atmospheric CO2 during European conquest","Nevle et al. 2011 Neotropical human–landscape interactions, fire, and atmospheric CO2 during European conquest",,,tropical rainforest; savanna,charcoal,fire; land use,paleoecology,study_case,local,Neotropics,"pre-colonial, colonial",1500 BCE-2000 CE,,,yes,,https://doi.org/10.1177/0959683611404578,,https://journals.sagepub.com/doi/abs/10.1177/0959683611404578,Johanna Menges
Haggi et al,2018,Response of the Amazon rainforest to late Pleistocene climate variability,Haggi et al 2018 Response of the Amazon rainforest to late Pleistocene climate variability,,Tropical rainforest (Amazonia),tropical rainforest,leafwax,climate,paleoclimate; paleoecology ,study_case,regional,Neotropics,late Pleistocene,50000 BP-12800 BP,-6.660555556,-52.09416667,yes,yes,https://doi.org/10.1016/j.epsl.2017.09.013,,https://doi.org/10.1594/PANGAEA.881516,Fabiano Pupim
Wang et al,2017,"Hydroclimate changes across the Amazon lowlands over the past 45,000 years","Wang et al 2017 Hydroclimate changes across the Amazon lowlands over the past 45,000 years",,Tropical rainforest (Amazonia),tropical rainforest,speleothem,climate,paleoclimate; paleoecology ,study_case,regional,Neotropics,late Pleistocene/Holocene,45000 BP-present,-4.066666667,-55.45,yes,yes,https://doi.org/10.1038/nature20787,,,Fabiano Pupim
Cheng et al,2013,Climate change patterns in Amazonia and biodiversity,Cheng et al 2013 Climate change patterns in Amazonia and biodiversity,,Tropical rainforest (Amazonia),tropical rainforest,speleothem,climate,paleoclimate; paleoecology ,study_case,regional,Neotropics,mid-late Pleistocene/Holocene,250000 BP-present,-5.9333,-77.3,yes,yes,https://doi.org/10.1038/ncomms2415,,,Fabiano Pupim
McGlue et al,2012,"Lacustrine records of Holocene flood pulse dynamics in the Upper Paraguay River watershed (Pantanal wetlands, Brazil)","McGlue et al 2012 Lacustrine records of Holocene flood pulse dynamics in the Upper Paraguay River watershed (Pantanal wetlands, Brazil)",,Pantanal wetland,tropical rainforest,soil samples,climate,paleolimnology,study_case,local,Neotropics,Holocene,11000 BP-present,-18.13,-57.55,yes,no,https://doi.org/10.1016/j.yqres.2012.05.015,,,Fabiano Pupim
Roberts et al. ,2017,The deep human prehistory of global tropical forests and its relevance for modern conservation,Roberts et al. 2017,,Tropical forest,tropical rainforest,pollen; archaeology,land use,archaeology,review,global,Global,late pleistocene ,45000 BP-present,,,yes,no,https://doi.org/10.1038/nplants.2017.93,,,Giorgia Camperio
Gibbs et al. ,2009,Tropical forests were the primary sources of new agricultural land in the 1980s and 1990s,,,Tropical forest,tropical rainforest,remote sensing,land use,ecology,review,global,Global,modern,1980 CE-1999 CE,,,yes,yes,https://doi.org/10.1073/pnas.0910275107,,,Giorgia Camperio
Arroyo-Kalin & Riris,2021,Did pre-Columbian populations of the Amazonian biome reach carrying capacity during the Late Holocene?,Arroyo-Kalin & Riris,,Tropical rainforest (Amazonia),tropical rainforest,radiocarbon,land use,archaeology,study_case,regional,Neotropics,Holocene,1050 BCE-1500 CE,,,yes,yes,https://doi.org/10.1098/rstb.2019.0715,,,Philip Riris
Riris & Arroyo-Kalin,2019,Widespread population decline in South America correlates with mid-Holocene climate change,Riris & Arroyo-Kalin,,South America,tropical rainforest; savanna,radiocarbon,land use; climate,archaeology,study_case,continental,Neotropics,Holocene,12000 BP-2000 BP,,,yes,yes,https://doi.org/10.1038/s41598-019-43086-w,,,Philip Riris
De Souza & Riris,2021,"Delayed demographic transition following the adoption of cultivated plants in the eastern La Plata Basin and Atlantic coast, South America",De Souza & Riris,,La Plata basin,tropical rainforest,archaeology,land use,archaeology,study_case,regional,Neotropics,Holocene,12000 BP-1500 BP,,,yes,yes,https://doi.org/10.1016/j.jas.2020.105293,,,Philip Riris
Nascimento et al,2019,"Vegetation response to climatic changes in western Amazonia over the last 7,600 years","Nascimento et a. 2019 Vegetation response to climatic changes in western Amazonia over the last 7,600 years",,Tropical rainforest (Amazonia),tropical rainforest,pollen; charcoal; sedimentary proxies,climate,paleoecology,study_case,local,Neotropics,Holocene,7600 BP-present,0.285,-66.676,yes,yes,https://doi.org/10.1111/jbi.13704 ,,https://doi.org/10.1111/jbi.13704 ,Majoi N. Nascimento
Nascimento et al,2018,"A 12,700-year history of paleolimnological change from an Andean microrefugium","Nascimento et al. 2018 A 12,700-year history of paleolimnological change from an Andean microrefugium",,"Montane forest, lake (Andes)",montane forest,diatoms,climate,paleolimnology,study_case,local,Neotropics,Holocene,,-13.98023,-71.037708,yes,yes,https://doi.org/10.1177/0959683618810400,,,Majoi N. Nascimento
Nascimento et al,2020,The adoption of agropastoralism and increased ENSO frequency in the Andes,Nascimento et al. 2020 The adoption of agropastoralism and increased ENSO frequency in the Andes,,Montane forest (Andes),montane forest,pollen; charcoal; sedimentary proxies,land use; climate,paleoecology,study_case,local,Neotropics,Holocene,14500 BP-present,-2.8427778,-79.146111,yes,yes,https://doi.org/10.1016/j.quascirev.2020.106471,,,Majoi N. Nascimento
Adolf et al.,2020,Identifying drivers of forest resilience in long-term records from the Neotropics,Adolf et al 2020 Identifying drivers of forest resilience in long-term records from the Neotropics,,Tropical forest,,pollen,biodiversity,paleoecology,theory,regional,Neotropics,Holocene,present,,,yes,yes,https://doi.org/10.1098/rsbl.2020.0005,https://doi.org/10.5061/dryad.xwdbrv19c,https://royalsocietypublishing.org/doi/10.1098/rsbl.2020.0005#d1e1998,Carole Adolf
Roberts et al.,2020,Late Pleistocene to Holocene human palaeoecology in the tropical environments of coastal eastern Africa,Roberts et al.2020Late Pleistocene to Holocene human palaeoecology in the tropical environments of coastal eastern Africa,,Tropical forest (East Africa),,stable isotopes,population,paleoecology; archaeology,study_case,local,Africa,Pleistocene,78000BP-present,-3.678611111,39.73583333,Yes,Yes,https://doi.org/10.1016/j.palaeo.2019.109438,https://doi.org/10.1016/j.palaeo.2019.109438,,Patrick Roberts
Roberts et al.,2017,Fruits of the forest: Human stable isotope ecology and rainforest adaptations in Late Pleistocene and Holocene (∼36 to 3 ka) Sri Lanka,Roberts et al.2017Fruits of the forest: Human stable isotope ecology and rainforest adaptations in Late Pleistocene and Holocene (∼36 to 3 ka) Sri Lanka,,Tropical forest (Sri Lanka),tropical rainforest,stable isotopes,population,paleoecology; archaeology,study_case,local,S Asia,Pleistocene,36000BP-3000BP,6.766666667,80.2,Yes,Yes,https://doi.org/10.1016/j.jhevol.2017.01.015,https://doi.org/10.1016/j.jhevol.2017.01.015,,Patrick Roberts
Premathilake and Risberg,2003,"Late Quaternary climate history of the Horton Plains, central Sri Lanka","Premathilake and Risberg2003Late Quaternary climate history of the Horton Plains, central Sri Lanka",,Tropical forest (Sri Lanka),montane forest,pollen; diatoms,climate,paleoecology; archaeology,study_case,regional,S Asia,Holocene,18000BP-present,6.8,80.8,Yes,Yes,https://doi.org/10.1016/S0277-3791(03)00128-8,https://doi.org/10.1016/S0277-3791(03)00128-8,,Patrick Roberts
Hunt et al.,2012,"A 50,000-year record of late Pleistocene tropical vegetation and human impact in lowland Borneo","Hunt et al.2012A 50,000-year record of late Pleistocene tropical vegetation and human impact in lowland Borneo",,Tropical forest (Southeast Asia),tropical forest,pollen,climate,paleoecology; archaeology,study_case,local,SE Asia,Pleistocene,52000BP-5000BP,3.808330556,113.7754972,Yes,Yes,https://doi.org/10.1016/j.quascirev.2012.01.014,https://doi.org/10.1016/j.quascirev.2012.01.014,,Patrick Roberts
Bush et al.,2021,Widespread reforestation before European influence in Amazonia,Bush et al.2021Widespread reforestation before European influence in Amazonia,,Tropical rainforest (Amazonia),tropical rainforest,pollen,land use,paleoecology,review,regional,Neotropics,pre-colonial,1500BP-present,,,Yes,Yes,10.1126/science.abf3870,,,Xavier Benito
Nogue et al. ,2021,The human dimension of biodiversity changes on islands,Nogue et al 2021The human dimension of biodiversity changes on islands,,Global,,pollen,land use,paleoecology,review,global,Global,Holocene,5000BP-present,,,Yes,,10.1126/science.abd6706,,https://science.sciencemag.org/content/372/6541/488,Carole Adolf
Hamilton et al,2021,Non-uniform tropical forest resopnses to the 'Columbian Exchange' in the Neotropics and Asia-Pacific,Hamilton et al2021Non-uniform tropical forest resopnses to the 'Columbian Exchange' in the Neotropics and Asia-Pacific,,Global,,pollen,land use,paleoecology,review,global,Global,pre-colonial,2000BP-present,,,Yes,Yes,10.1038/s41559-021-01474-4,,,Xavier Benito
Junior et al.,2020,"Amazon forest on the edge of collapse in the Maranhão State, Brazil","Junior et al, identify the socioecological impacts of forest disruption in Maranhao state, Brazil",,Tropical forest (Amazonia),tropical rainforest,review of policies,land use,social,review,regional,Neotropics,modern,modern,4.0,46.0,Yes,N/A,https://doi.org/10.1016/j.landusepol.2020.104806,,,
Baragwanath & Bayi,2020,Collective property rights reduce deforestation in the Brazilian Amazon. ,Identifying the benefit of collective property rights to reduce deforestation in the Brazilian Amazon,,Tropical forest (Amazonia),tropical rainforest,Remote sensing,land use,social,study_case,regional,Neotropics,modern,1980-modern,,,Yes,,https://doi.org/10.1073/pnas.1917874117,,https://doi.org/10.1073/pnas.1917874117,
